InvoiceID,PO_ID,VendorID,Department_Invoice,InvoiceDate,PaymentDate,InvoiceAmount_INR,PaymentMethod,ApprovedBy,Status,Missing_Invoice_Amount_Flag,Negative_Invoice_Flag,Zero_Invoice_Flag,Missing_PO_Flag,Invalid_PO_Flag,Invalid_Vendor_Flag,Invalid_Approver_Flag,EmployeeID,EmployeeName,Department_Employee,Role,ApprovalLimit_INR,Invoice_Approval_Limit_Breach_Flag,Invoice_Limit_Utilization
INV000218,PO00188,V0040,HR,2024-08-07,2024-10-15,52600.0,Bank Transfer,EMP0063,Paid,0,0,0,0,0,0,0,EMP0063,Rajesh Chauhan,Maintenance,Senior Manager,1500000,0,0.03506666666666667
INV000303,PO00263,V0124,Admin,2024-12-31,2025-03-02,15200.0,Cheque,EMP0008,Paid,0,0,0,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.010133333333333333
INV000215,PO00185,V0093,Maintenance,2025-01-03,2025-02-22,7994.0,Cheque,EMP0051,Paid,0,0,0,0,0,0,0,EMP0051,Vikram Patel,Sales,VP,10000000,0,0.0007994
INV000419,PO00363,V0076,Admin,2024-07-19,2024-08-18,29900.0,NEFT/RTGS,EMP0013,paid,0,0,0,0,0,0,0,EMP0013,Kavita Iyer,Quality,Senior Manager,1500000,0,0.019933333333333334
INV000548,PO00481,V0129,IT,2024-05-24,2024-06-26,176700.0,Bank Transfer,EMP0055,Paid,0,0,0,0,0,0,0,EMP0055,Manoj Patel,Quality,Manager,500000,0,0.3534
INV000402,PO00346,V0008,Maintenance,2025-03-30,2025-05-09,51000.0,Bank Transfer,EMP0031,PAID,0,0,0,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.102
INV000263,PO00231,V0100,HR,2024-10-31,2024-12-07,42462.0,Bank Transfer,EMP0031,Paid,0,0,0,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.084924
INV000573,PO00502,V0071,Admin,2024-06-19,2024-08-23,33900.0,Cheque,EMP0051,Paid,0,0,0,0,0,0,0,EMP0051,Vikram Patel,Sales,VP,10000000,0,0.00339
INV000139,PO00117,V0004,IT,2024-06-13,2024-07-07,45900.0,Cheque,EMP0048,Paid,0,0,0,0,0,0,0,EMP0048,Ravi Joshi,Sales,Manager,500000,0,0.0918
INV000229,PO00200,V0118,Procurement,2025-03-27,2025-05-06,48000.0,Bank Transfer,EMP0026,Paid,0,0,0,0,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.032
INV000606,,V0046,Logistics,2024-04-07,2024-04-30,11900.0,Cheque,EMP0035,Paid,0,0,0,1,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00119
INV000520,PO00456,V0092,Logistics,2024-08-30,2024-09-24,80500.0,NEFT/RTGS,EMP0009,PAID,0,0,0,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.161
INV000209,PO00180,V0034,Sales,2024-07-18,2024-08-17,21500.0,Bank Transfer,EMP0044,paid,0,0,0,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.007166666666666667
INV000004,PO00002,V0031,Production,2024-05-29,2024-06-30,16926.0,Bank Transfer,EMP0055,Paid,0,0,0,0,0,0,0,EMP0055,Manoj Patel,Quality,Manager,500000,0,0.033852
INV000600,,V0091,Quality,2025-03-05,2025-04-07,1460500.0,Bank Transfer,EMP0026,PAID,0,0,0,1,0,0,0,EMP0026,Priya Rao,Procurement,Senior Manager,1500000,0,0.9736666666666667
INV000639,PO00219,V0058,Production,2025-03-31,2025-04-11,60800.0,Bank Transfer,EMP0031,Paid,0,0,0,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.1216
INV000378,PO00323,V0010,HR,2024-06-28,2024-07-25,141700.0,Cheque,EMP0054,Paid,0,0,0,0,0,0,0,EMP0054,Deepak Singh,Production,AVP,3000000,0,0.047233333333333336
INV000207,PO00178,V0119,Procurement,2025-03-11,2025-05-04,47600.0,Bank Transfer,EMP0036,Paid,0,0,0,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.031733333333333336
INV000007,PO00004,V0028,Admin,2024-08-01,2024-09-09,33768.0,Bank Transfer,EMP0035,PAID,0,0,0,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.0033768
INV000366,PO00312,V0068,Procurement,2025-02-09,2025-03-18,262000.0,Bank Transfer,EMP0003,PAID,0,0,0,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.524
INV000361,PO00307,V0013,Production,2024-12-05,2025-02-02,91300.0,Bank Transfer,EMP0018,PAID,0,0,0,0,0,0,0,EMP0018,Neha Reddy,Sales,Manager,500000,0,0.1826
INV000587,PO00515,V0017,Quality,2025-01-31,2025-04-02,12920.0,Bank Transfer,EMP0021,PAID,0,0,0,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.02584
INV000323,PO00277,V0100,Finance,2024-06-22,2024-07-30,46722.0,Bank Transfer,EMP0031,PAID,0,0,0,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.093444
INV000290,PO00253,V0034,Admin,2024-05-25,2024-06-24,12100.0,Bank Transfer,EMP0044,paid,0,0,0,0,0,0,0,EMP0044,Vivek Verma,Maintenance,AVP,3000000,0,0.004033333333333333
INV000033,PO00025,V0114,Admin,2024-05-04,2024-06-02,374500.0,Cheque,EMP0051,Paid,0,0,0,0,0,0,0,EMP0051,Vikram Patel,Sales,VP,10000000,0,0.03745
INV000373,PO00319,V0032,Admin,2024-08-30,2024-10-09,6700.0,Bank Transfer,EMP0056,Paid,0,0,0,0,0,0,0,EMP0056,Pooja Iyer,IT,AVP,3000000,0,0.0022333333333333333
