PO_ID,VendorID,PO_Date,Department_PO,PO_Amount_INR,RaisedBy,ApprovedBy,Missing_Vendor_Flag,Missing_Approver_Flag,Invalid_PO_Amount_Flag,Invalid_Vendor_Flag,EmployeeID,EmployeeName,Department_Employee,Role,ApprovalLimit_INR,PO_Approval_Limit_Breach_Flag,PO_Limit_Utilization
PO00001,V0056,2024-12-12,Finance,34900,EMP0062,EMP0004,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.0698
PO00002,V0031,2024-05-02,Production,21700,EMP0036,EMP0055,0,0,0,0,EMP0055,Manoj Patel,Quality,Manager,500000,0,0.0434
PO00003,V0105,2024-10-14,Quality,43400,EMP0054,EMP0035,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00434
PO00004,V0028,2024-07-12,Admin,93800,EMP0032,EMP0035,0,0,0,0,EMP0035,Anil Rao,Maintenance,VP,10000000,0,0.00938
PO00005,V0098,2025-02-17,Admin,9200,EMP0003,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.0184
PO00006,V0098,2024-10-13,HR,84400,EMP0062,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.1688
PO00007,V0092,2025-01-04,Logistics,34300,EMP0045,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.0686
PO00008,V0015,2025-01-15,Admin,62200,EMP0042,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.041466666666666666
PO00009,V0084,2024-10-16,IT,137600,EMP0024,EMP0008,0,0,0,0,EMP0008,Vikram Nair,Production,Senior Manager,1500000,0,0.09173333333333333
PO00010,V0007,2024-04-14,HR,11100,EMP0029,EMP0031,0,0,0,0,EMP0031,Anjali Singh,Logistics,Manager,500000,0,0.0222
PO00011,V0083,2024-04-16,IT,150500,EMP0008,EMP0004,0,0,0,0,EMP0004,Sameer Chauhan,Admin,Manager,500000,0,0.301
PO00012,V0043,2024-11-28,Admin,181800,EMP0046,EMP0021,0,0,0,0,EMP0021,Ajay Sharma,Admin,Manager,500000,0,0.3636
PO00013,V0102,2025-01-25,Maintenance,13400,EMP0021,EMP0009,0,0,0,0,EMP0009,Sameer Gupta,Sales,Manager,500000,0,0.0268
PO00014,V0082,2024-05-22,Maintenance,156500,EMP0031,EMP0012,0,0,0,0,EMP0012,Arjun Mehta,Production,VP,10000000,0,0.01565
PO00015,V0045,2024-08-15,Admin,30900,EMP0008,EMP0010,0,0,0,0,EMP0010,Suresh Singh,IT,Manager,500000,0,0.0618
PO00016,V0094,2024-07-22,Sales,16600,EMP0050,EMP0049,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.0332
PO00017,V0027,2024-09-29,Quality,66300,EMP0023,EMP0003,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.1326
PO00018,V0109,2024-07-31,Sales,26200,EMP0041,EMP0012,0,0,0,0,EMP0012,Arjun Mehta,Production,VP,10000000,0,0.00262
PO00019,V0107,2025-03-24,HR,151200,EMP0004,EMP0049,0,0,0,0,EMP0049,Deepak Malhotra,HR,Manager,500000,0,0.3024
PO00020,V0081,2025-03-27,HR,107400,EMP0019,EMP0036,0,0,0,0,EMP0036,Sanjay Chauhan,Maintenance,Senior Manager,1500000,0,0.0716
PO00021,V0085,2025-01-14,Maintenance,54900,EMP0064,EMP0003,0,0,0,0,EMP0003,Amit Reddy,Procurement,Manager,500000,0,0.1098
